Gospel	ID	Verse number according to Christodouloupoulos and Steedman (2015)	Marker GRC	Marker LA	Context GRC	Context LA	Implicit GRC	Implicit LA	Utterance GRC	Utterance LA	Polarity GRC	Polarity LA	SoA	Dinamicity	Control	Ambiguous modal reading	Modal type	Notional domain	Subtype / degree	Inevitability / prospective	Function	Synoptic
 luke	lk04_43	b.LUK.4.43	δεῖ	oportet	ὁ δὲ εἶπεν πρὸς αὐτοὺς ὅτι καὶ ταῖς ἑτέραις πόλεσιν εὐαγγελίσασθαί με δεῖ τὴν βασιλείαν τοῦ θεοῦ , ὅτι ἐπὶ τοῦτο ἀπεστάλην.	quibus ille ait quia et aliis civitatibus oportet me evangelizare regnum Dei quia ideo missus sum	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	true	true	false	deontic	authority	obligation			
 luke	lk05_12b	b.LUK.5.12	δύναμαι	possum	Καὶ ἐγένετο ἐν τῷ εἶναι αὐτὸν ἐν μιᾷ τῶν πόλεων καὶ ἰδοὺ ἀνὴρ πλήρης λέπρας· ἰδὼν δὲ τὸν Ἰησοῦν, πεσὼν ἐπὶ πρόσωπον ἐδεήθη αὐτοῦ λέγων· κύριε , ἐὰν θέλῃς { με καθαρίσαι } δύνασαί με καθαρίσαι .	et factum est cum esset in una civitatum et ecce vir plenus lepra et videns Iesum et procidens in faciem rogavit eum dicens Domine si vis { me mundare } potes me mundare	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	true	true	false	dynamic	possibility	participant-inherent			s03
 luke	lk05_13	b.LUK.5.13	θέλω	volo	καὶ ἐκτείνας τὴν χεῖρα ἥψατο αὐτοῦ λέγων· θέλω { καθαρίσαι } , καθαρίσθητι· καὶ εὐθέως ἡ λέπρα ἀπῆλθεν ἀπ’ αὐτοῦ.	et extendens manum tetigit illum dicens volo mundare et confestim lepra discessit ab illo	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	true	true	false	deontic	volition				s07
 luke	lk05_21	b.LUK.5.21	δύναμαι	possum	καὶ ἤρξαντο διαλογίζεσθαι οἱ γραμματεῖς καὶ οἱ Φαρισαῖοι λέγοντες· τίς ἐστιν οὗτος ὃς λαλεῖ βλασφημίας; τίς δύναται ἁμαρτίας ἀφεῖναι εἰ μὴ μόνος ὁ θεός ;	et coeperunt cogitare scribae et Pharisaei dicentes quis est hic qui loquitur blasphemias quis potest dimittere peccata nisi solus Deus	false	false	interrogative	interrogative	affirmative	affirmative	true	true	true	false	dynamic	possibility	participant-inherent			salpha
 luke	lk05_24	b.LUK.5.24	ἐξουσίαν ἔχω	potestatem habeo	ἵνα δὲ εἰδῆτε ὅτι ὁ υἱὸς τοῦ ἀνθρώπου ἐξουσίαν ἔχει ἐπὶ τῆς γῆς ἀφιέναι ἁμαρτίας – εἶπεν τῷ παραλελυμένῳ· σοὶ λέγω, ἔγειρε καὶ ἄρας τὸ κλινίδιόν σου πορεύου εἰς τὸν οἶκόν σου.	ut autem sciatis quia Filius hominis potestatem habet in terra dimittere peccata ait paralytico tibi dico surge tolle lectum tuum et vade in domum tuam	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	true	true	false	dynamic	possibility	participant-inherent			sq
 luke	lk05_34	b.LUK.5.34	δύναμαι	possum	ὁ δὲ Ἰησοῦς εἶπεν πρὸς αὐτούς· μὴ δύνασθε τοὺς υἱοὺς τοῦ νυμφῶνος ἐν ᾧ ὁ νυμφίος μετ’ αὐτῶν ἐστιν ποιῆσαι νηστεῦσαι ;	quibus ipse ait numquid potestis filios sponsi dum cum illis est sponsus facere ieiunare	false	false	interrogative	interrogative	negative	affirmative	true	true	true	false	deontic	acceptability	unacceptable		rhetoric	
 luke	lk05_38	b.LUK.5.38	τέος	ndus est	ἀλλ’ οἶνον νέον εἰς ἀσκοὺς καινοὺς βλη τέον .	sed vinum novum in utres novos mitte ndum est et utraque conservantur	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	true	true	true	deontic	authority	recommendation			sbeta
 luke	lk05_38	b.LUK.5.38	τέος	ndus est	ἀλλ’ οἶνον νέον εἰς ἀσκοὺς καινοὺς βλη τέον .	sed vinum novum in utres novos mitte ndum est et utraque conservantur	false	false	non-interrogative	non-interrogative	affirmative	affirmative	true	true	true	true	dynamic	necessity	situational			sbeta
 luke	lk05_39	b.LUK.5.39	θέλω	volo	καὶ οὐδεὶς πιὼν παλαιὸν θέλει νέον { πιεῖν } · λέγει γάρ· ὁ παλαιὸς χρησ τός ἐστιν.	et nemo bibens vetus statim vult novum { bibere } dicit enim vetus melius est	false	false	non-interrogative	non-interrogative	negative	negative	true	true	true	false	deontic	volition				
 luke	lk05_39	b.LUK.5.39	θέλω	volo	καὶ οὐδεὶς πιὼν παλαιὸν θέλει νέον { πιεῖν } · λέγει γάρ· ὁ παλαιὸς χρησ τός ἐστιν.	et nemo bibens vetus statim vult novum { bibere } dicit enim vetus melius est	false	false	non-interrogative	non-interrogative	negative	negative	false			false	deontic	volition				
